le vêtement|das Kleidungsstück
la casquette|die Schirmmütze
la chaussure|der Schuh
le costume|der Anzug
l'echarpe|das Halstuch[]der Schal
le gant|der Handschuh
les lunettes[]|die Brille
la pantalon|die Hose
la robe|das Kleid
le short|die Shorts
le sac|die Tasche
la veste|die Jacke
la basket|der Turnschuh
la botte|der Stiefel
la pantoufle|der Pantoffel
la sandale|die Sandale
le blouson|die Jacke[]die Lederjacke
le gilet|das Gilet[]die Weste
l'anorak|die Windjacke
le manteau|der Mantel
le jean|die Jeans
le caleçon|die Leggins
le chemisier|die Damenbluse
le tailleur|das Damenkostüm
la chaussette|der Socken
le collant|die Stumpfhose
le T-shirt|das T-Shirt
le maillot|das Leibchen
le slip|der Slip
le foulard|das Kopftuch[]das Foulard
le béret|die Baskenmütze
les lunettes de soleil|die Sonnenbrille
le sac a main|die Handtasche
la broche|die Brosche
la ceinture|der Gürtel
le pyjama|der Schlafanzug
les bretelles|die Hosenträger
l'imperméable|der Regenmantel
la salopette|die Latzhose
le soutien-gorge|der Büstenhalter
chaud[]chaude|warm
froid[]froide|kalt
court[courte|kurz
long[]longue|lang
sportif[]sportive|sportlich
cher[]chère|teuer[]lieb
beau[]bel[]belle|schön
vieux[]vieil[]vieille|alt
violet[]violette|violett
clair[]claire|klar[]hell
foncé[]foncée|dunkel
gai[]gaie|fröhlich
rose|rosa
joli[]jolie|hübsch
élégant[]élégante|elegant
neuf[]neuve|neu
classique|klassisch[]zeitlos
démodé[]démodée|altmodisch
usé[]usée|abgenutzt
solide|solid
résistant[]résistante|widerstandsfähig
confortable|bequem[]komfortabel
léger[]légère|leicht
large|weit
serré[]serrée|eng
spécial[]spéciale|speziell
propre|sauber
gentil[]gentille|nett
s'habiller|sich anziehen
montrer|zeigen
porter|tragen
le prix|der Preis
la boutique|das Modegeschäft, die Boutique
mettre|anziehen
désirer|wünschen
proposer|vorschlagen
le vendeur|der Verkäufer
la vendeuse|die Verkäuferin
la caisse|die Kasse
acheter|kaufen
alles avec|zu passen
essayer|probieren
être habillé[]être habillée|bekleidet sein
préférer|vorziehen
trouver|finden
le choix|die Wahl[]die Auswahl
la cabine d'essayage|die Umkleidekabine
le coton|die Baumwolle
la laine|die Wolle
le cuir|das Leder
la soie|die Seide
le motif|das Motiv[]das Muster
à rayures|gestreift
à carreaux|kariert
de couleur|farbig
de couleurs vives|mit lebhaften Farben
à fleurs|geblümt
à pois|getupft
la coupe|der Schnitt
le col|der Kragen
à col roulé|der Rollkragen
la manche|der Ärmel
le bouton|der Knopf
la fermeture éclair|der Reissverschluss
la pointure|die Schuhgrösse
la taille|die Kleidergrösse
l' anniversaire|der Geburtstag
la surprise-partie|die Überraschungsparty
le cadeau|das Geschenk
