un appartement|eine Wohnung
un immeuble|ein Wohnblock
le voisin|der Nachbar
la voisine|die Nachbarin
s'informer de|sich erkundigen
s'installer|sich einrichten
placer|stellen, hinstellen
la chambre à coucher|das Schlafzimmer
la pièce|das Zimmer
une entrée|ein Eingangsraum
la salle de bains|das Badezimmer
la baignoire|die Badewanne
la douche|die Dusche
la cuisine|die Küche
la cuisinière|der Kochherd
le placard|der Wandschrank
la vaisselle|das Geschirr
un évier|das Spülbecken
la poubelle|der Mülleimer
le frigo[]le réfrigérateur|der Kühlschrank
le four|der Backofen
le lave-vaisselle|die Geschirrspülmaschine
le micro-ondes|die Mikrowelle
le meuble|das Möbelstück
la chaise|der Stuhl
la lampe|die Lampe
le buffet|das Buffet
le lit|das Bett
la table|der Tisch
le fauteuil|der Sessel
le canapé|das Kanapee
une armoire|ein Schrank
une étagère|ein Gestell
le rideau|der Vorhang
le tapis|der Teppich
la moquette|der Spannteppich
la penderie|die Garderobe
le cadre|der Rahmen
la pendule|die Pendeluhr
la chaîne stéréo|die Stereoanlage
le disque|die Schallplatte
une échelle|eine Leiter
à côté de|neben
au milieu de|mitten
en face|gegenüber
près de|in der Nähe
au-dessous de|unterhalb
au-dessus de|oberhalb
autour de|um herum
neuf[]neuve|neu
vieux[]vieil[]vieille|alt
nouveau[]nouvel[]nouvelle|erstmalig
ancien[]ancienne|antik
usé[]usée|gebraucht
compliqué[]compliquée|kompliziert
possible|möglich
impossible|unmöglich
pauvre|arm
curieux[]curieuse|neugierig
fréquent[]fréquente|häufig
identique|identisch
portable|tragbar
couvrir|decken
souffrir de|leiden
tenir|halten
appartenir|gehören
venir|kommen
devenir|werden
se souvenir de|sich erinnern
servir|bedienen
servir à|dienen zu
retenir|zurückhalten
revenir|wiederkommen
repartir|wieder verreisen
promettre|versprechen
croire|glauben
savoir|wissen
une affaire|eine Sache, ein Geschäft
une histoire|eine Geschichte
la brocante|die Brockenstube
le type|die Art
assez de|genug
sans|ohne
une absence|eine Abwesenheit
la présence|die Anwesenheit
la tempête|der Sturm
la technologie|die Technologie
en effet|in der Tat
en général|generell
