attribuer|zuordnen
bavarder|schwatzen
connaître|kennen
couper|schneiden
dire|sagen
effacer|radieren[]auswischen
expliquer|erklären
nommer|nennen
oublier|vergessen
porter|tragen
ranger|aufräumen
traduire|übersetzten
s'amuser|sich amüsieren
se brosser|sich bürsten
se coiffer|sich frisieren
se dépêche|sich beeilen
s'embrasser|sich küssen
se réveiller[]s'éveiller|aufwachen[]erwachen
se frotter|sich reiben
se maquiller|sich schminken
se moucher|sich die Nase putzen
se parfumer|sich parfümieren
se promener|spazieren
se raser|sich rasieren
se regarder|sich anschauen
se reposer|sich erholen
se saluer|sich begrüssen
la matière|das Schulfach
la consigne|die Anweisung
la solution|die Lösung
la situation|die Situation
la scène vidéo|die Videoszene
gronder|schimpfen
facile|leich
difficile|schwierig
la séquence|die Szene[]Die Sequenz
bruyant[]bruyante|lärmig
le miroir|der Speiegel
le robinet|der Wasserhahn
la récréation|die Pause
le silence|die Ruhe
l'ordre|die Ordnung
le désordre|die Unordnung
l'ambiance|die Stimmung[]die Atmosphäre
l'habitude|die Gewohnheit
la patience|die Gedult
ambitieux[]ambitieuse|ehrgeizig[]ambitiös
amoureux[]amoureuse|verliebt
content[]contente|zufrieden
calme|ruhig
fâché[]fâchée|verärgert
poli[]polie|höflich
triste|traurig
paresseux[]paresseuse|faul
appliqué[]appliquée|fleissig
ainsi|so[]auf diese Art
quelquefois|manchmal
à tour de rôle|abwechslungsweise
souvent|oft
en retard|zu spät[]verspätet
tôt|früh
