das geschenk|la cadeau
der Markt|le marché
der Handel[]das Geschäft|le commerce
der Händler[]der Kaufmann|le commerçant[]la commerçante
verkaufen|vendre
der Kunde[]die Kundin|le client[]la cliente
der Lebensmittelhändler[]die Lebensmittelhändlerin|l'épicier[]l'épicière
der Metzger[]die Metzgerin|le boucher[]la bouchère
der Service[]die Bedienung|le service
das Produkt|le produit
der Artikel|l'article
der Kauf[]der Einkauf|l'achat
der Apotheker[]die Apothekerin|le pharmacien[]la pharmacienne
der Lehrling[]die Lehrtochter|l'apprenti[]l'apprentie
die Kasse|la caisse
das Kleingeld|la monnaie
zurückgeben|rendre
das Einkaufszentrum|le centre commercial
die Werbeanzeige|l'annonce publicitaire
schenken, anbieten[]offrir
kioskähnliches Geschäft[](verkauft Zeitungen, Tabakwaren usw.) |le bureau de tabac
die Nachricht[]die Neuigkeit|la nouvelle
letzte[]letzter[]letztes|dernier[]dernière
die Ware|la marchandise
die Buchhandlung|la librairie
der Blumenhändler[]die Blumenhändlerin|le fleuriste[]la fleuriste
die Selbstbedienung|le libre-service
parkieren|garer
das Warenhaus|le grand magasin
das Stockwerk|l'étage
die Abteilung|le rayon
die Ernährung[]die Verpflegung|l'alimentation
die Lebensmittelabteilung|le rayon alimentation
der Fotoapparat|l'appareil photo
die Batterie|la pile
bringen|apporter
zurückbringen|rapporter
das Erdgeschoss|le rez-de-chaussée
das Untergeschoss|le sous-sol
Leid tun|être désolé[]être désolée
der Auskunftsschalter|le guichet des renseignements
der Schluss[]das Ende|la fin
derselbe[]dasselbe[]dieselbe|même
warten|attendre
das Merkmal|la caractéristique
