Ich stelle mich vor.|Je me présent.
Salü, wie gehts?|Salut, ça va?
Danke, es geht, und dir?|Merci, ça va, et toi?
Nicht schlecht.|Pas mal.
Wie heisst du?|comment tu t'appelles?
Ich heisse... |Je m'appelle...
Ich wohne an der Bahnofstrasse|J'habite rue de la gare
das Alter|l'âge
Wie alt bist Du?|Tu as quel âge?
Ich bin dreizehn Jahre alt.|J'ai treize ans.
haben|avoir
der Bruder|le frère
die Schwester|la soeur
die Freizeitbeschäftigungen|les loisirs
gern haben[]mögen[]lieben|aimer
Hast Du gerne Musik?|Est-ce-que tu aimes la musique?
das Lesen[]die Lektüre|la lecture
der Computer|l'ordinateur
das Kino|le cinéma
das Theater|le théâtre
der Fernseher|la télé
das Tanzen, der Tanz|la danse
der Sport|le sport
Fussball|le foot
Basketball|le basket
das Inlineskating|le roller
Hockey|le hockey
Judo|le judo
Volley|le volley
Karate|le karaté
Tennis|le tennis
Velofahren[]das Velo|le vélo
Welche Farbe hat dies?|C'est de quelle couleur?
die Farbe|la couleur
grün|vert[]verte
rot|rouge
schwarz|noir[]noire
blau|bleu[]bleue
violett|violet[]violete
gelb|jaune
orange|orange
weiss|blanc[]blanche
die Klarinette|la clarinette
die Gitarre|la guitare
das Radio|la radio
die Kamera|la caméra
der Bus|le bus
der Panther|la panthère
der Lastwagen|le camion
das Tram|le Tram
Berühre!|Touche!
Berührt!|Touchez!
dreizehn|treize
vierzehn|quatorze
fünfzehn|quinze
sechszehn|seize
siebzehn|dix-sept
achtzehn|dix-huit
neunzehn|dix-neuf
zwanzig|vingt
die Wortkartei|le fichier
Die Wortschatzkarten[]die Karten|les cartes
Spiel![]Spielt!|Joue![]Jouez!
Würfle![]Würfelt!|Jette![]Jetez le dé!
