finden|trouver
stehlen|voler
der Weg[]die Strasse|la route
der Dieb[]die Diebin|le vouleur[]la vouleuse
der gestohlene Gegenstand|l'objet volé
der codierte Brief|la lettre codée
Öffne![]Öffnet!|Ouvre![]Ouvrez!
Entschlüssle die Nachricht!|Décode le message!
eine Panne haben|étre en panne
der Tannenwald|la forét de sapins
der see|le lac
am Seeufer|au bord du lac
das Stockwerk[]die Etage|l'étage
die Bank|le banc
der Apfel|la pomme
der Vogel|l'oiseau
der Fluss|la rivière
der Freund[]die Freundin|l'ami[]l'amie
Fussball spielen|jouer au foot
die Manschaft[]das Team|l'équipe
gewinnen|gagner
das Glas Limonade|le verre de limonade
Lies nochmals!|Relis!
Lest nochmals!|Relisez!
zurückgehen[]zurückkehren|retourner
die polizeiliche Untersuchung|l'enquête policière
eine Frage stellen|poser une question
die Polizei|la police
der Polizist|le policier
das Kind|l'enfant
mutig|courageux[]courageuse
gestern|hier
die letzte Woche[]vergangene Woche|la semaine passée
heute Morgen|ce matin
Er hat einen Lärm gehört.|Il a entendu un bruit.
J'ai eu peur.|Ich habe Angst gehabt.
Der Dieb hat einen Brief verloren.|Le voleur a perdu une lettre.
Hast du den Brief geöffnet?|Tu as ouvert la lettre?
Was macht die Polizei?|Qu'est-ce que la police a fait?
schreien|crier
zerbrechen[]brechen|casser
arbeiten|travailler
Beschreibe!|Décris!
Beschreibt!|Décrivez!
Er hat blaue Augen.|Il a les yeux bleus.
Er misst ungefähr 1m 80.|Il mesure environ 1m 80.
der Schnautz[]der Schnurrbart|la moustache
der Stifel|la Botte
oval|ovale
aus Leder|en cuir
die Krawatte|la cravatte
die Brille|les lunettes
Lerne!|Apprends!
Lernt!|Apprenez!
buchstabieren|épeler
Es ist einfach[]Es ist leicht.|C'ect facile.
Es ist schwierig[]Es ist schwer.|C'est difficile.
diese Nachricht[]diese Botschaft|ce message
