l'agriculteur|der Landwirt
l'agricultrice|die Landwirtin
le paysan|der Bauer
la paysanne|die Bäuerin
le vigneron|der Rebbauer
la vigneronne|die Rebbäuerin
l'ingénieur|der Ingenieur
le maçon|der Maurer
la maçonne|die Maurerin
le menuisier|der Schreiner
la menuisière|die Schreinerin
le charpentier|der Zimmermann
la charpentière|die Zimmerin
l'électricien|der Elektriker
l'électricienne|die Elektrikerin
le mécanicien|der Mechaniker
la mécanicienne|die Mechanikerin
le dessinateur|der Zeichner
la dessinatrice|die Zeichnerin
l'hôtelier|der Hotelier
l'hôtelière|die Hotelsfrau
le serveur|der Kellner
la serveuse|die Kellnerin
le moniteur|der Leiter
la monitrice|die Leiterin
la blanchisseuse|die Wäscherin
l'employé de banque|der Bankangestellte
l'employée de banque|die Bankangestellte
le secrétaire|der Sekretär
la secréctaire|die Sekretärin
l'informaticien|der Informatiker
l'informaticienne|die Informatikerin
le chômeur|der Arbeitslose
la chômeuse|die Arbeitslose
le médecin|der Arzt
le dentiste|der Zahnarzt
l'assistante médicale|Medizinische Praxisassistentin
l'infirmier|der Krankenpfleger
l'infirmière|die Krankenschwester
l'agricultrure|die Landschaft
le champ|das Feld
la bête|das Tier
la vigne|die Rebe
arroser|giessen
cultiver|pflanzen, kultivieren
produire|produzieren
l'industrie|die Industrie
l'atelier|die Werkstatt
électrique|elektrisch
réparer|reparieren
le tourisme|der Tourismus
l'hôtel|das Hotel
la boisson|das Getränk
commander|bestellen
le cours|der Kurs
accompagner|begleiten
skier|Ski fahren
les travaux ménager|die Hausaltarbeit
le linge|die Wäsche
sécher|trocknen
repasser|bügeln
l'intérieur|das Innere
l'extérieur|das Äussere
à l'intérieur|drinnen
à l'extérieur|draussen
le bureau|das Büro
la banque|die Bank
l'employé de banque|die Bankangestellte
le guichet|der Schalter
la queue|die Schlange
le chômage|die Arbeitslosigkeit
la dent|der Zahn
le sang|das Blut
soigner|pflegen
ne... rien|nichts
ne... personne|niemand
ne...jamais|nie
ne...plus|nicht mehr
allumer|anzünden
fumer|rauchen
savoir|wissen
heureux,-se|glücklich
sale|schmutzig
important,-e|wichtig
plein,-e|voll
retard|Verspätung
rapidement|schnell
à cause de|wegen
une histoire|eine Geschichte
le siècle|das Jahrhundert
au bout de|am Ende von
un habitant|ein Bewohner
la population|die Bevölkerung
la circulation|der Verkehr
émigrer|auswandern
occuper|besetzen
s'occuper de|sich kümmern um
recevoir|bekommen, erhalten
battre|schlagen
actuellement|heutzutage
autrefois|früher,ehemals
longtemps|lange
loin de|weit,fern
plaire|gefallen
quelques|einige, ein paar
