der Farbstift|le crayon de couleur
Das ist ein Gummi.|C'est un gomme.
Im Rucksack hat es ein Buch.|Dan le sac à dos, il ya un livre.
das Heft|le cahier
der Bleistift|le crayon
der Rucksack|le sac dà dos
das Buch|le livre
der Gummi|le gomme
das Etui|l'etui, m.
der Füllfederhalter[]die Füllfeder|le stylo
der Massstab[]das Lineal|la règle
das Sandwiche|le sandwiche
die Banane|la banane
Was ist das?|Qu'est-ce que c'est?
Zeig!|Montre!
Zeigt den Füllfederhalter!|Montrez le stylo!
Das ist ein Hut.|C'est un chapeau
Nimm!|Prends!
Nehmt einen Gummi!|Prenez une gomme!
Da ist der Massstab.|Voilà la règle
Sprichdt du Französisch?|Tu parles français?
ja|oui
nein|non
Höre!|Ecoute!
Hört zu!|Ecoutez!
Komm!|Viens!
Kommt!|Venez!
Schau|Regarde!
Schaut!|Regardez!
Salü|Salut
Guten Tag, Frau|Bonjour, Madame
danke|merci
das Klassenzimmer|la salle de classe
die Schule|l'école
der Tisch|la table
der Stuhl|la chaise
das Pult[]der Schreibtisch|le bureau
das Büchergestell[]die Bibliothek|la bibliothèque
die Türe|la porte
das Fennster|la fenêtre
die Wandtafel|le tableau noir
das Lavabo[]das Waschbecken|le lavabo
die Lampe|la lampe
die Pflanze|la plante
die Mappe[]die Schulmappe|la serviette
Auf dem Tisch hat es ein Etui.|Sur la table il y a un étui.
Die Mappe ist unter dem Stuhl.|La servitte es sous la table.
der Helikopter|l'hélicoptèr
die Trompete|la trompette
die Katze|le chat
