der Lieblingssport|le sport préféré
der Tanz|la danse
das Inline-Skaten|le roller
Volleyball spielen|jouer au volley
Basketball spielen|jouer au basket
Fussball spielen|jouer au foot
der Ball|la balle
das Rollbrett|la planche à roulettes
die Eisbahn|la patinoire
das Schwimmbad|la piscine
das Sportzentrum|le centre sportif
das Basketballfeld|le terrain de basket
das Krafttraining|la musculation
das Segel[]das Segeln|la voile
der Sportplatz|le terrain de sport
praktizieren|pratiquer
der Sportler|le sportif
die Sportlerin|la sportive
sportlich|sportif, ve
die Mannschaft|l'équipe
allein|seul[]seule
die Vorbereitung|la préparation
teilnehmen an|participer à
das Spiel|le jeu
das Turnier|le tournoi
der Wettkampf[]der Wettbewerb|le concours
in Form|en forme
schlank|svelte
verehren[]sehr gerne haben|adorer
verabscheuen[]überhaupt nicht gerne haben|détester
im Sommer|en été
im Winter|en hiver
das Schlietschuhlaufen|le patinage
der Eiskunstlauf|le patinage artistique
das Eis-Hockey|le hockey sur glace
das Tauchen|la plongée
die Meisterschaft|le championnat
der Meister|le champion
die Meisterin|la championne
der Anfänger|le débutant
die Anfängerin|la débutante
der Trainer|l'entraîneur
das Training|l'entraînement
der Spieler|le joueur
die Spielerin|la joueuse
der Lauf[]das Rennen|la course
der Orientierungslauf|la course d'orientation
der See|le lac
der Wald|la forêt
das Dorf|le village
das Traumdorf|le village de rêve
der Hügel|la colline
das Verkehrsbüro|l'office de tourisme
der Tourist|le touriste
die Touristin|la touriste
vorschlagen|proposer
die Pension|la pension
die Jugendherberge|l'auberge de jeunesse
jung|jeune
die jungen Leute|les jeunes
der Besitzer eines kleinen Betriebes|le patron
die Besitzerin eines kleinen Betriebes|la patronne
der Besuch|la visite
der Mut|le courage
das Abenteuer|l'aventure
der Abend[] (in seiner Dauer) |la soirée
sich hinlegen[]ins Bett gehen|se coucher
aufstehen|se lever
sich vorstellen|se présenter
sich vorbereiten|se préparer
trainieren|s'entraîner
sich konzentrieren|se concentrer
sich ausruhen|se reposer
gebrauchen[]verwenden|utiliser
warum|pourquoi
weil|parce que
dann|puis
zu viel|trop
zu viel von|trop de
spät|tard
zu spät|trop tard
