die Wintersportarten|les sports d'hiver
das Skilaufen[]der Ski|le ski
das schlitteln[]der Schlitten|la luge
das snowboarden[]das Snowboard|le snowboard
das Schlittschuhlaufen[]der Schlittschuh|le patin à glace
die Schlittschuhbahn|la patinoire
der Schnee|la neige
der Skilift|le téléski
die Gondelbahn|la télécabine
ser Sessellift|le télésiège
der Berg|la montagne
das Hallenbad|la piscine couvert
das Sportgeschäft|le magasin de sport
Er schlittelt|il fait de la luge.
Ich fahre Ski.|Je fais de Ski.
Er spielt nicht.|Il ne joue pas.
Ich habe Wintersport nicht gern.|Je n'aime pas les sports d'hiver.
Wo ist...?|Où est...?
vor|devant
hinter|derrière
Ich ziehe mich an.[]Ich kleide mich.|je m'habille.
das Kleidungsstück|le vêtement
die Mütze|le bonnet
der Handschuh|le gant
die Sonnenbrille|les lunettes de soleil
der Schal[]das Halstuch|l'écharpe
die Hose|le pantalon
die Windjacke|l'anorak
der Schuh|la chaussure
der Rock[]der Jupe|la jupe
das Hemd|la chemise
die Shorts[]die kurze Hose|le short
die Schirmmütze|la casquette
der Socken|la chaussette
die Jeans|le jean
die Jacke[]die Weste|la veste
das Kleid|la robe
der Pulli|le pull
das T-shirt|le tee-shirt
der Turnschuh|la basket
violett|violet[]violette
weiss|blanc[]blanche
Du legst eine Schirmmütze in den Koffer.|Tu mets une caquette dans la valise.
Ich ziehe ein weisses Hemd an.|Je mets une chemise blanche.
tragen|porter
Sie trägt eine weisse Hose.|Elle porte un pantalon blanc.
das Steak|le steak
das poulet|le poulet
sie Pommes frites|les pommes frites
Die Spaghetti|les spaghettis
der Salat|la salade
die Pizza|la pizza
das Getränk|la boisson
Was nehmt ihr?[]Was nehmen Sie?|Qu'est-ce que vous prenez?
Ihr wünscht?[]Sie wünschen?|Vous désirez?
Ich möchte einen Tee mit Zitrone.|J'aimrais un thé au citron.
die Rechnung|l'addition
Das macht zehn Franken.|Ça fait dix francs.
